reading_id,soil_moisture,temperature,timestamp,plant_id,botanist_id,last_watered
187,30.17731165053243,13.134610610773167,2024-06-13 10:05:10,0,1,2024-06-12 14:03:04
188,28.50488204133859,12.014713167072186,2024-06-13 10:05:11,1,2,2024-06-12 13:54:32
189,34.7976883466788,9.085293721100635,2024-06-13 10:05:11,2,1,2024-06-12 14:10:54
190,33.43353404322767,9.962837601215773,2024-06-13 10:05:11,3,3,2024-06-12 14:50:16
191,25.51922647216699,11.307231800327735,2024-06-13 10:05:12,4,1,2024-06-12 13:16:25
192,34.781304789971614,11.157628689703081,2024-06-13 10:05:14,5,1,2024-06-12 14:56:18
193,31.62132898239109,10.945476362850371,2024-06-13 10:05:15,6,3,2024-06-12 13:35:35
194,25.908279062624246,11.485800635850392,2024-06-13 10:05:17,8,3,2024-06-12 13:23:01
195,30.864048342028994,10.577517783948577,2024-06-13 10:05:18,9,2,2024-06-12 14:12:43
196,27.0750911774349,13.932062416806355,2024-06-13 10:05:20,10,2,2024-06-12 13:04:57
197,31.01469559644194,9.435407226368559,2024-06-13 10:05:20,11,2,2024-06-12 13:37:24
198,26.237812430255403,12.756818577390403,2024-06-13 10:05:20,12,3,2024-06-12 13:13:51
199,32.43313432172319,9.487218530339907,2024-06-13 10:05:22,13,3,2024-06-12 13:36:47
200,28.225488607843147,9.95632197377629,2024-06-13 10:05:41,15,2,2024-06-12 13:45:31
201,-4.1449314399999935,13.261759446431537,2024-06-13 10:05:41,16,2,2024-06-12 13:50:40
202,29.98857918040737,9.740834984945208,2024-06-13 10:05:41,17,1,2024-06-12 14:02:40
203,31.492273120388347,8.988223974598196,2024-06-13 10:05:41,18,1,2024-06-12 14:29:39
204,30.593355871388624,13.843769596647435,2024-06-13 10:05:43,19,2,2024-06-12 13:24:30
205,32.189175854349955,8.562011917284043,2024-06-13 10:05:44,20,1,2024-06-12 14:49:34
206,32.66209792877493,10.989232465885538,2024-06-13 10:05:45,21,3,2024-06-12 14:23:59
207,26.178596491228078,9.523483370553432,2024-06-13 10:05:46,22,2,2024-06-12 13:03:26
208,30.637711846766166,13.036315509399325,2024-06-13 10:05:49,24,1,2024-06-12 14:44:00
209,31.732759945334593,11.570757334671887,2024-06-13 10:05:52,25,2,2024-06-12 13:58:41
210,34.721774298068084,14.133841024017322,2024-06-13 10:05:55,26,1,2024-06-12 14:23:18
211,34.35743706959009,10.735961381294258,2024-06-13 10:05:59,27,1,2024-06-12 14:58:20
212,29.92992871128871,12.394081195723896,2024-06-13 10:06:02,28,1,2024-06-12 14:37:02
213,29.577298955098215,10.79855611924064,2024-06-13 10:06:05,29,2,2024-06-12 13:11:24
214,33.10266778453038,14.487842303203191,2024-06-13 10:06:09,30,1,2024-06-12 13:55:19
215,27.281572191346157,13.336421084696724,2024-06-13 10:06:10,31,2,2024-06-12 13:05:43
216,29.843182304174945,10.589542944206807,2024-06-13 10:06:11,32,2,2024-06-12 14:29:54
217,30.08332263592233,13.516500739630537,2024-06-13 10:06:12,33,1,2024-06-12 14:05:58
218,28.540524641325533,13.382963159030064,2024-06-13 10:06:12,34,2,2024-06-12 13:44:15
219,26.94177325271471,12.885275157669724,2024-06-13 10:06:13,35,1,2024-06-12 13:32:46
220,32.53836983834586,12.26886042220231,2024-06-13 10:06:14,36,2,2024-06-12 14:09:55
221,32.42613696952381,11.06589411332761,2024-06-13 10:06:15,37,3,2024-06-12 14:23:43
222,31.896742110697673,11.047878419891779,2024-06-13 10:06:17,38,2,2024-06-12 13:46:06
223,29.08008418407961,13.371934836291619,2024-06-13 10:06:17,39,1,2024-06-12 14:18:23
224,33.41943727726432,9.048814008167293,2024-06-13 10:06:18,40,3,2024-06-12 14:05:38
225,31.655335846082096,11.714414491969137,2024-06-13 10:06:18,41,1,2024-06-12 13:45:13
226,33.015593944980694,9.840248845723103,2024-06-13 10:06:18,42,1,2024-06-12 14:49:43
227,29.437514196377506,9.53812304883922,2024-06-13 10:06:20,44,2,2024-06-12 13:32:40
228,30.253039447775635,8.965633814588612,2024-06-13 10:06:21,45,2,2024-06-12 14:04:23
229,34.048900674953956,13.286229922523212,2024-06-13 10:06:21,46,3,2024-06-12 14:12:39
230,-5.950900362857141,13.325115589569961,2024-06-13 10:06:23,47,3,2024-06-12 13:30:18
231,31.13668150292969,14.877246536497882,2024-06-13 10:06:25,48,1,2024-06-12 14:31:09
232,30.10415612584704,13.135894743418184,2024-06-13 10:06:26,50,1,2024-06-12 14:03:04
233,29.28111323330107,13.154459180086462,2024-06-13 10:20:36,0,1,2024-06-12 14:03:04
234,27.592469520669283,12.02461649106393,2024-06-13 10:20:38,1,2,2024-06-12 13:54:32
235,33.95399847679708,9.111633273412345,2024-06-13 10:20:38,2,1,2024-06-12 14:10:54
236,32.54229271565802,9.983426806342186,2024-06-13 10:20:39,3,3,2024-06-12 14:50:16
237,24.59708057455269,11.319515607853873,2024-06-13 10:20:40,4,1,2024-06-12 13:16:25
